Hospital Name,Details Link,Address,City/Area,Description,Contact Info,Photos,Telephone,Email,Street Address
Psychological Clinic - Dr. Manal Al -Daghar,https://healtheg.com/ar/Item/1161/العيادة-النفسية---د-منال-الدغار,25 Andalus St.,Alexandria-Abrahamic,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,035905175 - 01006313619,,25 Andalus St.
Alpha for specialized clinics,https://healtheg.com/ar/Item/1661/الفا-للعيادات-التخصصية,"193 B Jedrinia, the first gate - next to pharmacies Ali and Ali, Al -Haram, Giza",Giza-the pyramid,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0239744079 - 0239743854 - 01095408146 - 01110877702,,"193 B Jedrinia, the first gate - next to pharmacies Ali and Ali, Al -Haram, Giza"
Eye Consultant Center,https://healtheg.com/ar/Item/1667/المركز-الاستشارى-للعيون,Neighboring,New Eastern Al-Salihiya,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0553200061 - 0553203161,,Neighboring
Civilized Islamic Center,https://healtheg.com/ar/Item/1263/المركز-الاسلامى-الحضارى,"Abu Ghaleb village, in front of the Martyrs of the Tenth of Ramadan, Manshiyat Al -Qanater, Giza",Giza-Al-Qanater facility,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0238771926,,"Abu Ghaleb village, in front of the Martyrs of the Tenth of Ramadan, Manshiyat Al -Qanater, Giza"
Islamic Medical Center,https://healtheg.com/ar/Item/1275/المركز-الاسلامى-الطبى,"109 Pyramid St., Al -Haram, Giza",Giza-the pyramid,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0233829115,,"109 Pyramid St., Al -Haram, Giza"
Regional Center for Blood Transport Services in Tanta,https://healtheg.com/ar/Item/3221/المركز-الاقليمى-لخدمات-نقل-الدم-بطنطا,"The extension of Hafez Wahbi St. - Sejger, next to the Educational Buildings Authority, Tanta, Western",Western-Tanta,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0403509575 - 0403511554,,"The extension of Hafez Wahbi St. - Sejger, next to the Educational Buildings Authority, Tanta, Western"
Regional Center for blood transfusion in Alexandria,https://healtheg.com/ar/Item/1673/المركز-الاقليمى-لنقل-الدم-بالاسكندرية,"Abdul Qadir Abu Aqda St., inside the ambulance facility, Kom Al -Dikka, Alexandria",Alexandria-Kom Al-Dakka,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,034951963 - 034951971,,"Abdul Qadir Abu Aqda St., inside the ambulance facility, Kom Al -Dikka, Alexandria"
The regional center for blood transfusion in Ismailia,https://healtheg.com/ar/Item/1676/المركز-الاقليمى-لنقل-الدم-بالاسماعيلية,"Al -Maafa Square - Ismailia II District, Araishiya Egypt, Ismailia",Ismailia-Araishia Egypt,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0643359306 - 0643370374,,"Al -Maafa Square - Ismailia II District, Araishiya Egypt, Ismailia"
The regional center for blood transfusion in Mansoura,https://healtheg.com/ar/Item/1675/المركز-الاقليمى-لنقل-الدم-بالمنصورة,"Sheikh Hassanein Square, Mansoura, Dakahlia",Dakahlia-Mansoura,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0502396781 - 0502266791,,"Sheikh Hassanein Square, Mansoura, Dakahlia"
The regional center for blood transfusion in Minya,https://healtheg.com/ar/Item/1674/المركز-الاقليمى-لنقل-الدم-بالمنيا,"The Nile Corniche, next to the Institute of Oncology, Corniche, Minya",Minya-Corniche,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0862339241 - 0862339242 - 0862339243,,"The Nile Corniche, next to the Institute of Oncology, Corniche, Minya"
World Specialized Center for Oncology,https://healtheg.com/ar/Item/1594/المركز-التخصصى-العالمى-لعلاج-الاورام,"May 14 Road, in front of Hilton Alexandria Green Plaza, Smouha, Alexandria",Alexandria-Smouha,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,039575827 - 039575829 - 01008888601 - 01008888602,,"May 14 Road, in front of Hilton Alexandria Green Plaza, Smouha, Alexandria"
Specialized Center for Neurosurgery,https://healtheg.com/ar/Item/3252/المركز-التخصصى-لجراحة-المخ-و-الاعصاب,"Dahdura Hoda, downtown, Fayoum",Fayoum-Central Country,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01001797978 - 01008010675,,"Dahdura Hoda, downtown, Fayoum"
Specialized Center for Surgery and Dental Treatment,https://healtheg.com/ar/Item/1200/المركز-التخصصى-لجراحة-وعلاج-اللثة-والاسنان,"31 Ministry of Agriculture St., the highest pharmacy on Amidj, Dokki, Giza",Giza-Al-Diqi,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0237611724,,"31 Ministry of Agriculture St., the highest pharmacy on Amidj, Dokki, Giza"
Specialized Center for Heart Identations,https://healtheg.com/ar/Item/1596/المركز-التخصصى-لفحوص-القلب,"Al -Galaa St. - floor 1, in front of Egypt Air, Zagazig, Eastern",Eastern-Zagazig,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0552301596,,"Al -Galaa St. - floor 1, in front of Egypt Air, Zagazig, Eastern"
Children's Specialized Center,https://healtheg.com/ar/Item/1604/المركز-التخصصى-للاطفال,"91 Ahmed Shawky St., Mustafa Kamel, Alexandria",Alexandria-Mustafa Kamel,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,035228281,,"91 Ahmed Shawky St., Mustafa Kamel, Alexandria"
Specialized Center for Physiotherapy,https://healtheg.com/ar/Item/1630/المركز-التخصصى-للعلاج-الطبيعى,"12 Orabi Tower - Ahmed Orabi St., in front of Fahim Fruits, forty District, Suez",Suez-forty-year-old,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01227765836 - 0623222383,,"12 Orabi Tower - Ahmed Orabi St., in front of Fahim Fruits, forty District, Suez"
International Center for Physiotherapy,https://healtheg.com/ar/Item/1652/المركز-الدولى-للعلاج-الطبيعى,"Zain El Abidine St., Mit Ghamr, Dakahlia",Dakahlia-Matt Ghamr,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01227953152 - 01227308355,,"Zain El Abidine St., Mit Ghamr, Dakahlia"
International Center for Physiotherapy and Slimming,https://healtheg.com/ar/Item/3273/المركز-الدولى-للعلاج-الطبيعى-والتخسيس,"Delta Tower - - Floor 3, within the position of Talaat Harb, Al -Mahalla Al -Kubra, Western",Western-Greater Mahala,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01287966363,,"Delta Tower - - Floor 3, within the position of Talaat Harb, Al -Mahalla Al -Kubra, Western"
International Center for Physiotherapy and Palm Treatment,https://healtheg.com/ar/Item/1142/المركز-الدولى-للعلاج-الطبيعى-وعلاج-الالام,"1 Othman Horoscope - Al -Saada St. Roxy Square, higher if carnival, Heliopolis, Cairo",Cairo-Heliopolis,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0224537001 - 0224537002 - 01201111211 - 0224537004,,"1 Othman Horoscope - Al -Saada St. Roxy Square, higher if carnival, Heliopolis, Cairo"
The Swiss Medical Center in Cairo,https://healtheg.com/ar/Item/91/المركز-السويسرى-الطبى-بالقاهرة,"Al Salam Tower - Nile Corniche - floor 11, next to Al Salam International Hospital, Maadi, Cairo",Cairo-Maadi,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0225286894 - 01281500400 - 0225286895,,"Al Salam Tower - Nile Corniche - floor 11, next to Al Salam International Hospital, Maadi, Cairo"
Tourist Center for Diving Insurance and Protection,https://healtheg.com/ar/Item/3317/المركز-السياحى-لتأمين-وحماية-الغوص,"In front of the Suez Canal University building, Sharm El Water, Sharm El Sheikh",Sharm El-Sheikh-Bares Water,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0693660922 - 0693660923 - 01223331325 - 01222124292,,"In front of the Suez Canal University building, Sharm El Water, Sharm El Sheikh"
Health Center - Bulaq Dakrur,https://healtheg.com/ar/Item/1296/المركز-الصحى---بولاق-الدكرور,3 Sharif St.,Giza-Bulaq Dakrur,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0237388986,,3 Sharif St.
The General Health Center - Kafr Tahrams,https://healtheg.com/ar/Item/1552/المركز-الصحى-العام---كفر-طهرمس,Queen St.,Giza-Bulaq Dakrur,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0237219038,,Queen St.
Medical Center,https://healtheg.com/ar/Item/68/المركز-الطبى,"Administrative District, Al -Rehab City, Cairo",Cairo-Al-Rehab city,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0226072043,,"Administrative District, Al -Rehab City, Cairo"
Specialized medical center,https://healtheg.com/ar/Item/79/المركز-الطبى-التخصصى,"14 Kabul St., Nasr City, Cairo",Cairo-Nasr Country,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0223504927,,"14 Kabul St., Nasr City, Cairo"
The medical center for war production,https://healtheg.com/ar/Item/301/المركز-الطبى-التخصصى-للانتاج-الحربى,"50 Ismail Kamel St., next to the Azam Mosque - East Helwan - Helwan Department, Cairo Governorate",Cairo-Color,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0225588151 - 0225588153 - 0225588157 - 0225588159,,"50 Ismail Kamel St., next to the Azam Mosque - East Helwan - Helwan Department, Cairo Governorate"
The new medical center,https://healtheg.com/ar/Item/75/المركز-الطبى-الجديد,"88 Ibn Suleir Square, Saray Al -Qobba, Cairo",Cairo-Saray Al-Quba,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0224548456,,"88 Ibn Suleir Square, Saray Al -Qobba, Cairo"
The new medical center Alexandria,https://healtheg.com/ar/Item/1269/المركز-الطبى-الجديد-الاسكندرية,"May 14 Bridge Road, Ezbet Saad, Sidi Jaber Division, Alexandria",Alexandria-Smouha,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png, 4296920 – 427652 - 0122370171 – 0122370117,,"May 14 Bridge Road, Ezbet Saad, Sidi Jaber Division, Alexandria"
Modern Medical Center,https://healtheg.com/ar/Item/78/المركز-الطبى-الحديث,"5 Al -Ghamrawi St., Shubra, Cairo",Cairo-Shubra Egypt,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0224329091,,"5 Al -Ghamrawi St., Shubra, Cairo"
Modern Medical Center for Physiotherapy,https://healtheg.com/ar/Item/1635/المركز-الطبى-الحديث-للعلاج-الطبيعى,"Al -Raida St. - Mitrah Barra, next to the Mit Barah, Quesna, Menoufia, Mitnouq",Menoufia-Quena,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0482543949 - 0482587087,,"Al -Raida St. - Mitrah Barra, next to the Mit Barah, Quesna, Menoufia, Mitnouq"
International Medical Center,https://healtheg.com/ar/Item/53520/المركز-الطبي-العالمي,"Kilo 42, Cairo, Ismailia Desert Road, near Gate 2, Al -Shorouk City, Egypt, Egypt",Cairo-Al-Shorouk,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,24775902-02 - 02-24775903,,"Kilo 42, Cairo, Ismailia Desert Road, near Gate 2, Al -Shorouk City, Egypt, Egypt"
Lebanese medical center,https://healtheg.com/ar/Item/77/المركز-الطبى-اللبنانى,"17 Abdel Hamid Othman St., Ain Shams, Cairo",Cairo-Ain Shams,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0226440384 - 0226440458,,"17 Abdel Hamid Othman St., Ain Shams, Cairo"
Egyptian medical center,https://healtheg.com/ar/Item/1291/المركز-الطبى-المصرى,55 Doctors ’Tower - Al -Naad Al -Sports St. is branched from Faisal St.,Giza-Faisal,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0235690462,,55 Doctors ’Tower - Al -Naad Al -Sports St. is branched from Faisal St.
The Egyptian Medical Center - ICC,https://healtheg.com/ar/Item/1323/المركز-الطبى-المصرى---اى-ام-سى,"164 Pyramid St., Al -Haram, Giza",Giza-the pyramid,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0237802499,,"164 Pyramid St., Al -Haram, Giza"
Medical Center Crystal Asfour,https://healtheg.com/ar/Item/41935/المركز-الطبي-كريستال-عصفور,"The end of the Ahmed Orabi Bridge - next to the Crystal Mosque, the sparrow of the Al -Tawakiya canal, Bejam, the first section of Shubra al -Khaimah, Qaliubiya",Cairo-Shubra Al-Khaimah,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01144441323 – 01006005720 (002),,"The end of the Ahmed Orabi Bridge - next to the Crystal Mosque, the sparrow of the Al -Tawakiya canal, Bejam, the first section of Shubra al -Khaimah, Qaliubiya"
The medical center of the Sugar and Integrated Industries Company,https://healtheg.com/ar/Item/3288/المركز-الطبى-لشركة-السكر-والصناعات-التكاملية,"St. Nile St., in front of the term city council, Al -Hawamdiya, Giza",Giza-Ghamdiya,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0238115841 - 0238112962 - 0238112963 - 0238115842,,"St. Nile St., in front of the term city council, Al -Hawamdiya, Giza"
Medical Center for Dental,https://healtheg.com/ar/Item/1603/المركز-الطبى-للاسنان,"90 d St. Ahmed Orabi - floor 11 apartment 9, next to Omar Effendi, Mohandessin, Giza",Giza-Engineers,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0233033081 - 0233047595,,"90 d St. Ahmed Orabi - floor 11 apartment 9, next to Omar Effendi, Mohandessin, Giza"
Medical Center for Dermatology,https://healtheg.com/ar/Item/1606/المركز-الطبى-للامراض-الجلدية,"21 Al -Batal Ahmed Abdel Aziz St., Mohandessin, Giza",Giza-Engineers,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0233452254,,"21 Al -Batal Ahmed Abdel Aziz St., Mohandessin, Giza"
Medical Center for Petroleum Sector Workers,https://healtheg.com/ar/Item/809/المركز-الطبي-للعاملين-بقطاع-البترول,"Petroleum Hospital St., branch from Makram Obaid, behind the Imam Mosque, Nasr City, Cairo",Cairo-Nasr Country,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,+20222715643,,"Petroleum Hospital St., branch from Makram Obaid, behind the Imam Mosque, Nasr City, Cairo"
Women's Medical Center,https://healtheg.com/ar/Item/331/المركز-الطبى-للمرأة,"18 a u 77 c, next to a pharmacy Bassem, Maadi, Cairo",Cairo-Maadi,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,1720 - 0223803789,,"18 a u 77 c, next to a pharmacy Bassem, Maadi, Cairo"
The first Egyptian Center for Dentistry,https://healtheg.com/ar/Item/288/المركز-المصرى-الاول-لطب-الاسنان,"16 Sharif St., next to the National Bank of Egypt, downtown, Cairo",Cairo-Central Country,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0223910508,,"16 Sharif St., next to the National Bank of Egypt, downtown, Cairo"
The Egyptian British Center,https://healtheg.com/ar/Item/88/المركز-المصرى-البريطانى,"36 Suez Bridge St., Saray Al -Qobba, Cairo",Cairo-Saray Al-Quba,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01000602068,,"36 Suez Bridge St., Saray Al -Qobba, Cairo"
The Egyptian British Center for Urology - IAU,https://healtheg.com/ar/Item/3350/المركز-المصرى-البريطانى-للمسالك-البولية---اى-ايه-يو,"40 Al -Falah St., Lebanon Square, Mohandessin, Giza",Giza-Engineers,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0233049451 - 01111146107,,"40 Al -Falah St., Lebanon Square, Mohandessin, Giza"
The Egyptian International Specialized Center - ATC,https://healtheg.com/ar/Item/112/المركز-المصرى-الدولى-التخصصى---ايه-تى-سى,"25 Caliph Al -Mamoun St. - floor 3, above the National Bank of Egypt, Heliopolis, Cairo",Cairo-Heliopolis,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0226900679 - 0222913929,,"25 Caliph Al -Mamoun St. - floor 3, above the National Bank of Egypt, Heliopolis, Cairo"
The Egyptian International Center for Fertility and Pipe Children,https://healtheg.com/ar/Item/1240/المركز-المصرى-الدولى-للخصوبة-واطفال-الانابيب,"40 Abdul Rahim Pasha Sabry, Viny Square, Dokki, Giza",Giza-Al-Diqi,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,19483 - 0233356333,,"40 Abdul Rahim Pasha Sabry, Viny Square, Dokki, Giza"
Model Center for Physiotherapy,https://healtheg.com/ar/Item/1645/المركز-النموذجى-للعلاج-الطبيعى,"Othman Muharram St., Al -Haram, Giza",Giza-the pyramid,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0237773737 - 0237773535,,"Othman Muharram St., Al -Haram, Giza"
"The Islamic Hospital, dear to God, with olives",https://healtheg.com/ar/Item/53549/المستشفى-الإسلامي-العزيز-بالله-بالزيتون,"20 Al -Aziz Ballah St., Eastern Olives, Olives - Cairo",Cairo-olives,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,02 24544011,,"20 Al -Aziz Ballah St., Eastern Olives, Olives - Cairo"
Italian hospital,https://healtheg.com/ar/Item/16/المستشفى-الإيطالى,17 Sarayat Street - Abbasiya - Cairo,Cairo-Abbasiya,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,02 36740088,,17 Sarayat Street - Abbasiya - Cairo
Islamic Hospital for Tawhid and Sunnah,https://healtheg.com/ar/Item/1124/المستشفى-الاسلامى-للتوحيد-والسنة,"20 Al Aziz St., God, Olive Gardens, Cairo",Cairo-Olive Gardens,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0224544011 - 0224518098,,"20 Al Aziz St., God, Olive Gardens, Cairo"
German hospital,https://healtheg.com/ar/Item/1284/المستشفى-الالمانى,"17 Victor Emmanuel St. - Role 2 apartment 25, in front of Smouha Sports Social Club, Smouha, Alexandria",Alexandria-Smouha,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,034266442,,"17 Victor Emmanuel St. - Role 2 apartment 25, in front of Smouha Sports Social Club, Smouha, Alexandria"
American hospital,https://healtheg.com/ar/Item/83/المستشفى-الامريكى,"15 Khaled Bin Al -Walid St., branched from Abdul Hamid Badawi St., in front of the Mobil gas station, Heliopolis, Cairo",Cairo-Heliopolis,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0222670702,,"15 Khaled Bin Al -Walid St., branched from Abdul Hamid Badawi St., in front of the Mobil gas station, Heliopolis, Cairo"
The American Hospital in Tanta,https://healtheg.com/ar/Item/2444/المستشفى-الامريكي-بطنطا,"65 Saeed St., branch from Al -Jaish St., next to the American School, Tanta, Western",Western-Tanta,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,040 3312144,,"65 Saeed St., branch from Al -Jaish St., next to the American School, Tanta, Western"
European Hospital,https://healtheg.com/ar/Item/1225/المستشفى-الاوروبى,"Abu Youssef Tower -in front of the Liver Institute, Shebin El -Koum, Menoufia",Menoufia-Shabin Al-Kom,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0482222166 - 01069220099,,"Abu Youssef Tower -in front of the Liver Institute, Shebin El -Koum, Menoufia"
Kuwaiti Specialist Hospital,https://healtheg.com/ar/Item/1288/المستشفى-الكويتى-التخصصى,"Omar Bin Al -Khattab St., next to the Health Insurance Hospital, Benha, Qaliubiya",Qaliubiya-Benha,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0133236047 - 0133236091 - 0133236092,,"Omar Bin Al -Khattab St., next to the Health Insurance Hospital, Benha, Qaliubiya"
Central Hospital,https://healtheg.com/ar/Item/81/المستشفى-المركزى,Omar Bin Al -Khattab St.,Cairo-Heliopolis,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,16086 - 0224140356 - 01276066012 - 0224140045,,Omar Bin Al -Khattab St.
Egyptian hospital,https://healtheg.com/ar/Item/1290/المستشفى-المصرى,"Mubarak 2, close to the Market, Al -Kawthar, Hurghada",Red Sea-Hurghada,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01110506888 - 01110012270,,"Mubarak 2, close to the Market, Al -Kawthar, Hurghada"
Royal Hospital,https://healtheg.com/ar/Item/53527/المستشفى-الملكي,"17 Abdel -Qader Rajab Pasha, Abu Al -Nawatir, Sidi Jaber Department, Alexandria",Alexandria-Sir Jaber,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,03 5223066,,"17 Abdel -Qader Rajab Pasha, Abu Al -Nawatir, Sidi Jaber Department, Alexandria"
the future,https://healtheg.com/ar/Item/1289/المستقبل,"St. Al Masaken, Faisal, Giza",Giza-Faisal,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01010913501 - 01153077796,,"St. Al Masaken, Faisal, Giza"
The gift for physical therapy,https://healtheg.com/ar/Item/1654/الهبة-للعلاج-الطبيعى,"9 Freedom City St., Al -Munib, Giza",Giza-Munib,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01228744091 - 01229224229,,"9 Freedom City St., Al -Munib, Giza"
Calm for mental health and addiction treatment d.Wael Fouad,https://healtheg.com/ar/Item/53808/الهدوء-للصحة-النفسية-وعلاج-الإدمان-د--وائل-فؤاد,"Faisal Al -Labini Street, the first Kerdasa road - Kerdasa Center, Giza",Giza-Kerdasa,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01099500944,,"Faisal Al -Labini Street, the first Kerdasa road - Kerdasa Center, Giza"
Hana Clinic,https://healtheg.com/ar/Item/1574/الهنا-كلينيك,"92 g, the first gate, the pyramid, Giza",Giza-the pyramid,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,01155172351 - 01226222899,,"92 g, the first gate, the pyramid, Giza"
Obagi,https://healtheg.com/ar/Item/90/اوباجى,"Arcadia Horoscope - Tower D - Corniche of the Nile - floor 1, next to the Fairmont Nile City Hotel, Ramla Bulaq, Cairo",Cairo-Balqa Bulaq,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,0225778822 - 01223118189 - 01284300200 - 0225772233,,"Arcadia Horoscope - Tower D - Corniche of the Nile - floor 1, next to the Fairmont Nile City Hotel, Ramla Bulaq, Cairo"
Ur Kids,https://healtheg.com/ar/Item/1579/اور-كيدز,"9, Abi Nawas, in front of Anna Micho Restaurant, Muharram Bey, Alexandria",Alexandria-Muharram Bey,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,033912876 - 01005765544,,"9, Abi Nawas, in front of Anna Micho Restaurant, Muharram Bey, Alexandria"
ISC - Specialized Eye Center,https://healtheg.com/ar/Item/327/اى-اس-سى---المركز-التخصصى-للعيون,"Customer service, Heliopolis, Cairo",Cairo-Heliopolis,N/a,N/A,https://healtheg.com//content/images/healtheg_300.png,19980,,"Customer service, Heliopolis, Cairo"
